vtd,nasheed12,mott-oxford,wright-jones,slay13,mathews,reed,clay,britton,carnahan,gardner,hamacher,harmon,carl,nasheed16,hassinger16,wessels,wahby,jones,boyd,cmtjones,cmtmay,FrenchMayor17,ReedMayor17,BoydMayor16,JonesMayor17,KrewsonMayor17,HaasMayor17,MatthewsMayor17,YesOnP,NoOnP
12204,0,0,0,51,0,149,206,2,14,127,8,28,15,0,0,7,8,68,140,0,0,44,64,36,52,6,0,0,100,0
12205,0,0,0,36,3,92,175,5,5,123,8,29,6,0,0,0,3,69,111,0,0,30,62,27,50,5,0,1,100,0
12206,0,0,0,54,5,163,257,7,22,172,11,42,23,0,0,13,11,102,151,0,0,66,85,25,73,12,0,0,100,0
12207,0,0,0,24,1,63,102,3,9,51,3,19,3,0,0,3,2,37,70,0,0,15,22,24,24,5,0,1,100,0
12208,0,0,0,8,0,26,26,4,4,27,2,7,2,0,0,0,3,12,18,0,0,9,10,2,15,2,0,0,100,0
12301,0,0,0,387,4,58,71,16,178,95,66,25,144,0,0,106,66,18,65,0,0,61,93,10,67,221,5,0,100,0
12302,0,0,0,347,2,44,51,7,169,37,66,16,112,0,0,137,32,12,41,0,0,32,45,10,67,222,2,0,100,0
12303,0,0,0,198,2,36,36,7,93,29,48,18,75,0,0,56,23,7,47,0,0,24,63,3,39,142,1,1,100,0
12304,0,0,0,292,4,54,40,11,152,49,59,18,106,0,0,115,39,6,37,0,0,47,48,6,58,214,1,1,100,0
12305,0,0,0,230,2,32,36,11,131,55,49,11,136,0,0,92,33,12,32,0,0,23,41,6,78,165,2,1,100,0
12306,0,0,0,236,0,43,30,9,118,37,58,8,93,0,0,84,30,4,35,0,0,23,37,5,58,161,4,0,100,0
12307,0,0,0,213,2,51,50,8,132,49,43,21,98,0,0,94,27,22,44,0,0,28,44,8,55,160,1,0,100,0
12308,0,0,0,197,2,62,31,9,116,53,41,16,80,0,0,94,25,13,20,0,0,37,45,6,37,155,3,1,100,0
12309,0,0,0,54,0,24,9,4,46,12,13,4,14,0,0,23,22,0,15,0,0,1,21,1,8,41,3,0,100,0
12401,0,0,0,204,0,58,49,10,150,68,54,13,74,0,0,110,35,23,36,0,0,24,37,4,73,140,0,1,100,0
12402,0,0,0,126,1,45,36,18,109,38,25,11,45,0,0,78,23,23,34,0,0,31,24,4,54,130,3,1,100,0
12403,0,0,0,114,2,41,47,7,88,45,26,18,50,0,0,45,30,23,38,0,0,34,35,9,40,69,0,0,100,0
12404,0,0,0,185,2,39,37,9,151,49,59,9,90,0,0,85,33,17,55,0,0,26,25,4,94,168,1,1,100,0
12405,0,0,0,180,1,60,39,13,119,46,46,10,82,0,0,72,29,15,44,0,0,42,30,6,74,143,2,1,100,0
12406,0,0,0,177,7,41,71,16,127,65,40,22,88,0,0,89,36,31,43,0,0,44,39,6,105,161,1,0,100,0
12407,0,0,0,160,2,28,60,11,125,53,22,11,67,0,0,80,35,21,46,0,0,47,20,4,86,107,5,0,100,0
12408,0,0,0,47,0,15,11,4,43,13,8,4,31,0,0,23,6,3,16,0,0,8,10,2,31,42,1,0,100,0
12501,65,85,48,141,5,86,111,7,84,95,38,28,46,160,44,82,24,49,42,0,0,44,42,11,77,64,1,2,100,0
12502,61,115,53,143,5,113,116,7,109,86,52,26,87,175,68,94,22,61,53,0,0,36,64,5,92,85,0,1,100,0
12503,37,37,33,59,0,42,64,8,41,45,16,11,26,78,21,37,11,42,18,0,0,15,24,1,47,28,0,1,100,0
12504,66,71,61,143,5,121,103,10,87,103,31,30,42,161,48,83,10,52,46,0,0,36,71,6,102,71,3,0,100,0
12505,19,30,21,47,0,46,28,3,41,39,19,10,16,72,14,17,9,30,13,0,0,15,11,1,37,24,1,2,100,0
12506,3,0,2,0,0,2,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,4,4,0,0,100,0
12601,0,0,0,29,5,199,222,4,17,184,7,40,7,0,0,5,14,147,74,108,123,48,76,9,86,18,0,0,100,0
12602,0,0,0,26,3,114,163,3,14,132,4,28,10,0,0,8,2,99,68,81,87,37,49,10,51,17,0,0,100,0
12603,0,0,0,142,6,195,361,7,104,263,46,59,65,0,0,46,56,234,108,180,236,85,84,12,233,123,0,1,100,0
12604,0,0,0,84,4,224,335,5,44,258,18,67,24,0,0,12,21,206,131,143,219,58,126,11,158,48,0,0,100,0
12605,0,0,0,61,5,173,260,1,23,205,17,37,7,0,0,7,21,158,91,107,147,64,74,26,96,27,1,1,100,0
